title,author,publisher,price,description,amazon_product_url
THE INVESTIGATOR,John Sandford,Putnam,0.00,"Letty Davenport, the adopted daughter of Lucas Davenport, looks into oil thefts in Texas.",https://www.amazon.com/dp/059332868X?tag=NYTBSREV-20
IT ENDS WITH US,Colleen Hoover,Atria,0.00,A battered wife raised in a violent home attempts to halt the cycle of abuse.,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20
WHERE THE CRAWDADS SING,Delia Owens,Putnam,0.00,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20
VERITY,Colleen Hoover,Grand Central,0.00,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,0.00,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20
"RUN, ROSE, RUN",Dolly Parton and James Patterson,"Little, Brown",0.00,A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.,https://www.amazon.com/dp/075955434X?tag=NYTBSREV-20
THE SACRED BRIDGE,Anne Hillerman,Harper,0.00,Chee seeks to solve a mystery that eluded Leaphorn decades ago while Manuelito gets into a life-threatening situation.,https://www.amazon.com/dp/0062908367?tag=NYTBSREV-20
UGLY LOVE,Colleen Hoover,Atria,0.00,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20
THE VISCOUNT WHO LOVED ME,Julia Quinn,Avon,0.00,The second book in the Bridgerton series. Kate Sheffield gets in the way of Anthony Bridgerton's intent to marry.,https://www.amazon.com/dp/0062353640?tag=NYTBSREV-20
SEA OF TRANQUILITY,Emily St. John Mandel,Knopf,0.00,A detective investigating in the wilderness discovers that his actions might affect the timeline of the universe.,https://www.amazon.com/dp/0593321448?tag=NYTBSREV-20
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,Putnam,0.00,A brush with members of a drug-trafficking organization ushers a suburban family to go into the witness protection program.,https://www.amazon.com/dp/0525539670?tag=NYTBSREV-20
THE DUKE AND I,Julia Quinn,Avon,0.00,The first book in the Bridgerton series. Daphne Bridgerton’s reputation soars when she colludes with the Duke of Hastings. The basis of the Netflix series “Bridgerton.”,https://www.amazon.com/dp/0062911414?tag=NYTBSREV-20
NOVEMBER 9,Colleen Hoover,Atria,0.00,Is Ben using his relationship with Fallon as fodder for his novel?,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20
THE PARIS APARTMENT,Lucy Foley,Morrow,0.00,Jess has suspicions about her half-brother’s neighbors when he goes missing.,https://www.amazon.com/dp/0063003058?tag=NYTBSREV-20
THE LOVE HYPOTHESIS,Ali Hazelwood,Berkley,0.00,A young professor agrees to pretend to be a third-year Ph.D. candidate’s boyfriend.,https://www.amazon.com/dp/0593336828?tag=NYTBSREV-20
