title,author,publisher,price,description,amazon_product_url
FREEZING ORDER,Bill Browder,Simon & Schuster,0.00,The author of “Red Notice” tells his story of becoming Vladimir Putin’s enemy by uncovering a $230 million tax refund scheme.,https://www.amazon.com/dp/1982153288?tag=NYTBSREV-20
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0.00,"How trauma affects the body and mind, and innovative treatments for recovery.",http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20
"HELLO, MOLLY!",Molly Shannon with Sean Wilsey,Ecco,0.00,The comedic actor shares stories of family tragedy and her years as a star of “Saturday Night Live.”,https://www.amazon.com/dp/0063056232?tag=NYTBSREV-20
LEFT ON TENTH,Delia Ephron,"Little, Brown",0.00,"The author and screenwriter describes losing her sister and husband to cancer, finding love again and receiving a leukemia diagnosis.",https://www.amazon.com/dp/0316267651?tag=NYTBSREV-20
BITTERSWEET,Susan Cain,Crown,0.00,The author of “Quiet” suggests ways to embrace loss and suffering within ourselves and others.,https://www.amazon.com/dp/0451499786?tag=NYTBSREV-20
RECESSIONAL,David Mamet,Broadside,0.00,"The Pulitzer Prize-winning playwright lambastes liberal politics, cancel culture and other things he finds objectionable.",https://www.amazon.com/dp/006315899X?tag=NYTBSREV-20
RED NOTICE,Bill Browder,Simon & Schuster,0.00,An American hedge fund manager in Russia is expelled by kleptocrats who then seize his property. Browder's investigation into the death of his attorney led to the Magnitsky Act.,http://www.amazon.com/Red-Notice-Finance-Murder-Justice/dp/147675571X?tag=NYTBSREV-20
CRYING IN H MART,Michelle Zauner,Knopf,0.00,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",https://www.amazon.com/dp/0525657746?tag=NYTBSREV-20
STILL JUST A GEEK,Wil Wheaton,Morrow,0.00,The star of “Stand by Me” and “Star Trek: The Next Generation” revisits and updates his 2004 collection of blog posts.,https://www.amazon.com/dp/0063080478?tag=NYTBSREV-20
PANDORA'S JAR,Natalie Haynes,Harper Perennial,0.00,A re-examination of Greek myths and their female characters through a woman’s perspective.,https://www.amazon.com/dp/0063139464?tag=NYTBSREV-20
THE STORYTELLER,Dave Grohl,Dey Street,0.00,A memoir by the musician known for his work with Foo Fighters and Nirvana.,https://www.amazon.com/dp/0063076098?tag=NYTBSREV-20
GREENLIGHTS,Matthew McConaughey,Crown,0.00,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.,https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20
ALL ABOUT LOVE,bell hooks,Morrow,0.00,The late feminist icon explores the causes of a polarized society and the meaning of love.,https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0.00,"Viewing America’s entanglement with slavery and its legacy, in essays adapted and expanded from The New York Times Magazine.",https://www.amazon.com/dp/0593230574?tag=NYTBSREV-20
THE SPLENDID AND THE VILE,Erik Larson,Crown,0.00,An examination of the leadership of the prime minister Winston Churchill.,https://www.amazon.com/Splendid-Vile-Churchill-Family-Defiance/dp/0385348711?tag=NYTBSREV-20
